bu_name,session_title,session_type,session_date,session_time,base_cosine,rel,tech_overlap,novelty,actionability,confidence,final_score,scoring_reason,recommendation_reason,focus_areas
光Optical,ML x OR: Mathematical Foundations and Operational Integration of Machine Learning for Uncertainty-Aware Decision-Making,Workshop,SAT 6 DEC,8 a.m.,0.36317700147628784,0.9,0.85,0.8,0.75,0.95,0.8360624999999999,"High alignment on ML-OR integration, uncertainty-aware decision-making, and robust optimization methods matches BU demands for hybrid solvers, constraint handling, and scalable training. Workshop offers recent advances and challenges that are highly relevant and actionable for optical network control challenges.",该Session聚焦结合机器学习与运筹优化解决不确定性与约束问题，非常适合光学BU在神经组合优化中处理大规模动态图结构、离散约束和泛化能力的需求。通过集成OR严谨建模和ML自适应，能提升网络控制模型的稳健性和效率。,神经组合优化; 约束优化策略; 动态图结构建模; 不确定性管理; 模型与决策融合
光Optical,GPU-Accelerated and Scalable Optimization (ScaleOpt),Workshop,SUN 7 DEC,8 a.m.,0.5327712297439575,0.85,0.75,0.8,0.7,0.9,0.75525,"Session's focus on GPU-accelerated large-scale and combinatorial optimization aligns with BU's challenge in scalable, real-time neural combinatorial optimization for optical networks, emphasizing hybrid AI-OR methods and hardware-efficient inference, offering relevant methods, tools, and insights applicable to BU's constraints and training needs.",该工作坊深入探讨GPU加速大规模优化与神经网络约束的非线性优化，能推动我们在神经组合优化中的动态图结构处理和复杂约束建模技术。,GPU加速优化算法; 神经网络约束优化; 组合优化问题; 大规模随机优化; 优化与AI系统协同
光Optical,Constrained Optimization for Machine Learning,Workshop,SUN 7 DEC,8 a.m.,0.4164927005767822,0.8,0.7,0.75,0.7,0.9,0.7124999999999999,"The session on constrained optimization in ML aligns well with the BU's focus on constraint-satisfying neural combinatorial optimization. Both address enforcing constraints and robustness, though the BU centers on optical network control, while the session emphasizes safety-critical ML. Methods overlap reasonably, suggesting valuable but not fully specialized insights.",该会议探讨约束优化方法，恰好针对光学BU中需要保证网络控制中严格离散约束和鲁棒性的核心技术难题，能助力模型在复杂多变环境中实现可验证的约束合规。,约束优化算法; 神经组合优化; 鲁棒性与安全性; 深度学习可扩展性; 合规性验证
光Optical,New Perspectives in Graph Machine Learning,Workshop,SUN 7 DEC,8 a.m.,0.37190115451812744,0.8,0.7,0.8,0.6,0.9,0.7077500000000001,Strong relevance due to graph ML focus and optical network graph problems; methods overlap with graph neural nets and theoretical insights; considerable novelty from new perspectives and foundations; actionability moderate as workshop may yield strategies rather than ready solutions.,光网络的离散约束和大规模动态图结构对图机器学习提出挑战，该Session关于拓扑和理论的深入探讨能助力提升模型的鲁棒性和泛化能力。,大规模动态图表征; 离散约束处理; 拓扑深度学习; 模型鲁棒性; 泛化能力提升
光Optical,  → Breaking the Performance Ceiling in Reinforcement Learning requires Inference Strategies,Oral Paper,THU 4 DEC,10:00-11:00,0.43244442343711853,0.7,0.8,0.75,0.6,0.9,0.6935,"Both focus on RL for complex combinatorial problems involving multi-agent coordination and inference strategies; the session's focus on inference time strategy to break performance ceilings aligns well with BU's interest in anytime solutions and scalable training, offering potential novel tactics for deployment.",该Session强调推理阶段策略对提升复杂多智能体强化学习性能的核心作用，切合光通信网络中动态图结构和低延迟推断的需求，有助突破性能瓶颈。,多智能体强化学习; 推理策略优化; 低延迟推断; 性能瓶颈突破; 动态图结构处理
光Optical,Differentiable Learning of Combinatorial Algorithms: From Theory To Practice,Workshop,SAT 6 DEC,8 a.m.,0.45792996883392334,0.7,0.75,0.8,0.6,0.85,0.6636875000000001,"The session focuses on differentiable learning of combinatorial algorithms, aligning well with the BU's need for neural combinatorial optimization. Overlaps in methods and potential novel theoretical insights suggest moderate to high relevance and benefit, but lack of session detail limits precision.",光网络控制需求动态图结构和严格约束，会议探讨微分学习结合组合算法，有助解决鲁棒性和约束满足难题，实现高效混合优化。,神经组合优化; 动态图结构建模; 约束满足方法; 鲁棒性提升; 混合求解策略
光Optical,AI and ML for Next-Generation Wireless Communications and Networking (AI4NextG @ NeurIPS’25),Workshop,SAT 6 DEC,8 a.m.,0.4991861581802368,0.7,0.6,0.8,0.7,0.9,0.6412499999999999,"Session aligns with AI/ML in networking and dynamic resource allocation, relevant to optical network challenges. Overlap in reinforcement learning, hybrid ML-OR approaches, and hardware-aware inference present. Session offers potential novel insights and actionable methods for BU's scaling and robustness issues.",光网络的复杂路由和频谱分配任务与NextG无线环境动态性、稀疏高维信号处理高度契合，结合强化学习和在线适配技术可提升系统鲁棒性和性能。,动态图结构建模; 深度强化学习应用; 在线学习适应机制; 稀疏信号表示; 硬件高效推理
光Optical,  → A Clean Slate for Offline Reinforcement Learning,Oral Paper,THU 4 DEC,10:00-11:00,0.3684512972831726,0.7,0.6,0.75,0.65,0.9,0.63175,"Session focuses on rigor and benchmarking in offline RL, aligning with BU's interest in scalable training and offline methods. The unified algorithm and evaluation protocol could inform BU's hybrid ML-OR pipelines and training strategies, though direct focus on optical routing is limited.",该Session聚焦强化学习中离线算法的规范评价和统一实现，解决了超参数调优和算法设计混乱问题。这对光通信网络中离线RL模型的精准训练与稳定部署，提升泛化与调优效率极具参考价值。,离线强化学习; 超参数调优透明化; 统一算法框架; 模型无关快速实现; 严格评测协议
光Optical,Second Workshop on Aligning Reinforcement Learning Experimentalists and Theorists (ARLET),Workshop,SAT 6 DEC,8 a.m.,0.3989102244377136,0.7,0.6,0.75,0.5,0.9,0.6175,"The session focuses on bridging RL theory and practice, aligning with BU's RL challenges in network control. Shared interest in imitation learning and leveraging pre-trained models supports overlap and novelty, but session's general RL focus limits immediate technical applicability and actionable insights for optical network specifics.",光学网络的组合优化涉及大规模图结构和复杂约束，ARLET会上关于函数逼近和预训练模型的理论指导，能助力设计兼顾泛化与稳健性的RL算法。,大规模图结构表示; 约束条件的强化学习; 预训练模型应用; 函数逼近技术; 泛化能力提升
光Optical,OPT 2025: Optimization for Machine Learning,Workshop,SAT 6 DEC,8 a.m.,0.42554304003715515,0.7,0.6,0.7,0.5,0.9,0.61275,"The session addresses optimization in ML with a focus on stochastic optimization and generalization which aligns with BU's challenge in neural combinatorial optimization and hybrid ML-OR pipelines. However, BU's specific optical network context is only partially covered, limiting direct applicability.",该会议聚焦统计与优化结合，对解决网络控制中优化算法的泛化能力和数据结构适应性提供新思路，助力提升模型在复杂拓扑和非平稳环境下的鲁棒性。,统计优化结合; 泛化能力提升; 动态图结构优化; 可扩展优化算法; 训练过程中的统计性质
光Optical,Agentic AI/RL,Expo Talk Panel,TUE 2 DEC,4 p.m.,0.3408692479133606,0.7,0.6,0.65,0.5,0.9,0.6080000000000001,"Session focuses on RL environments and tools relevant to agentic systems, which aligns with BU's need for scalable training and deployment in RL-driven network control, though it lacks direct coverage of specific optical routing or combinatorial optimization technical details.",这场讨论正聚焦强化学习环境搭建和多系统集成，对我们在动态大规模网络图的强化学习训练和现实约束验证极为关键，可助力设计更高效可靠的仿真平台和训练管线。,强化学习环境构建; 多系统无缝集成; 高性能模拟器; 安全鲁棒性基准; 训练-评估接口
光Optical,Foundations of Imitation Learning: From Language Modeling to Continuous Control,Tutorial,TUE 2 DEC,1:30 p.m.,0.3343638777732849,0.6,0.7,0.7,0.6,0.8,0.5805,"Imitation learning is central to BU's scalable training using offline RL and self-play for network control; however, session's broad focus limits full relevance. Methodological overlap is strong with imitation learning, offering good novel insights and some actionable techniques.",光网络控制面临复杂图结构和约束，需要模仿学习结合强化学习解决动态调度和泛化问题，这个教程正好帮助提升模型在大规模光网络中的实用能力。,图结构建模; 约束优化方法; 模仿学习策略; 强化学习集成; 大规模训练策略
